project_id,project_name
prj_b47f5b5eef,1. 인력양성
prj_815347558f,2. 공동연구센터
prj_208430319d,2.1. 창업지원센터
prj_48a7df57d7,2.2. 방사광가속기
prj_29d720f2c2,3. 평생교육
prj_0b2eb44900,4. 지역현안해결
