source_sheet,source_excel_row,input_complete_flag,evidence_complete_flag,project_name,task_name,source_scope_name,source_level_name,indicator_name,unit,owner,target_2026,actual_2026,achievement_2026,note,source_weight,baseline_value,target_2025,target_2026_changed,target_2027,target_2028,target_2029,old_baseline,old_target_2025,old_target_2026,old_target_2027,old_target_2028,old_target_2029,prev_2025_target_check,actual_2025,target_match_check,actual_match_check,normalized_indicator_name,has_number_prefix,indicator_scope,is_regional_aggregate,source_level_confidence,indicator_id,indicator_level,parent_indicator_id,children_count,calculation_mode,formula_type
2026,21,O,X,1. 인력양성,1-2. 이차전지 단독형,"지역 전체, 단위과제 자율",상위지표,04. 지역 외 표준현장실습 참여 학생 증가율,%,조은미,0,,,,,,,,,,,,,,,,,,,False,True,지역 외 표준현장실습 참여 학생 증가율,True,CHUNGBUK,True,EXPLICIT,ind_7391ca3bee,PARENT,,0,DIRECT_INPUT,DIRECT
2026,22,O,X,1. 인력양성,1-2. 이차전지 단독형,"지역 전체, 단위과제 자율",상위지표,04. 지역 내 표준현장실습 참여 학생 증가율,%,조은미,0,,,,,,,,,,,,,,,,,,,False,True,지역 내 표준현장실습 참여 학생 증가율,True,CHUNGBUK,True,EXPLICIT,ind_cb5cbba563,PARENT,,8,AUTO_FROM_CHILDREN,GROWTH_RATE
2026,23,O,X,1. 인력양성,1-2. 이차전지 단독형,"지역 전체, 단위과제 자율",하위지표,05. 지역 외 4주 이상 8주 미만 표준현장실습 참여 학생 수,명,조은미,1,,0,,,1,1,1,1,1,1,-,8,9,10,11,12,1,1,True,False,지역 외 4주 이상 8주 미만 표준현장실습 참여 학생 수,True,CHUNGBUK,True,EXPLICIT,ind_929050356f,CHILD,ind_cb5cbba563,0,,DIRECT
2026,24,O,X,1. 인력양성,1-2. 이차전지 단독형,"지역 전체, 단위과제 자율",하위지표,05. 지역 내 4주 이상 8주 미만 표준현장실습 참여 학생 수,명,조은미,2,,0,,,1,1,2,3,4,5,,,,,,,1,3,False,False,지역 내 4주 이상 8주 미만 표준현장실습 참여 학생 수,True,CHUNGBUK,True,EXPLICIT,ind_40ece2c055,CHILD,ind_cb5cbba563,0,,DIRECT
2026,25,O,X,1. 인력양성,1-2. 이차전지 단독형,"지역 전체, 단위과제 자율",하위지표,06. 지역 외 8주 이상 12주 미만 표준현장실습 참여 학생 수,명,조은미,6,,0,,,6,6,6,6,6,6,-,8,9,10,11,12,6,8,True,False,지역 외 8주 이상 12주 미만 표준현장실습 참여 학생 수,True,CHUNGBUK,True,EXPLICIT,ind_ee7ab0d187,CHILD,ind_cb5cbba563,0,,DIRECT
2026,26,O,X,1. 인력양성,1-2. 이차전지 단독형,"지역 전체, 단위과제 자율",하위지표,06. 지역 내 8주 이상 12주 미만 표준현장실습 참여 학생 수,명,조은미,3,,0,,,2,2,3,4,5,6,,,,,,,2,2,False,False,지역 내 8주 이상 12주 미만 표준현장실습 참여 학생 수,True,CHUNGBUK,True,EXPLICIT,ind_fe5511690a,CHILD,ind_cb5cbba563,0,,DIRECT
2026,27,O,X,1. 인력양성,1-2. 이차전지 단독형,"지역 전체, 단위과제 자율",하위지표,07. 지역 외 12주 이상 표준현장실습 참여 학생 수,명,조은미,5,,0,,,5,5,5,5,5,5,-,8,9,10,11,12,5,24,True,False,지역 외 12주 이상 표준현장실습 참여 학생 수,True,CHUNGBUK,True,EXPLICIT,ind_d6609f5535,CHILD,ind_cb5cbba563,0,,DIRECT
2026,28,O,X,1. 인력양성,1-2. 이차전지 단독형,"지역 전체, 단위과제 자율",하위지표,07. 지역 내 12주 이상 표준현장실습 참여 학생 수,명,조은미,3,,0,,,2,2,3,4,5,6,,,,,,,2,2,False,False,지역 내 12주 이상 표준현장실습 참여 학생 수,True,CHUNGBUK,True,EXPLICIT,ind_28d77a3833,CHILD,ind_cb5cbba563,0,,DIRECT
2026,29,O,X,1. 인력양성,1-2. 이차전지 단독형,"지역 전체, 단위과제 자율",하위지표,08. 표준현장실습 참여자 중 실습기업 취업자 수,명,조은미,1,,0,,,-,10,1,2,2,3,-,1,1,2,2,3,1,0,True,False,표준현장실습 참여자 중 실습기업 취업자 수,True,CHUNGBUK,True,EXPLICIT,ind_eb1981ebf8,CHILD,ind_cb5cbba563,0,,DIRECT
2026,30,O,X,1. 인력양성,1-2. 이차전지 단독형,"지역 전체, 단위과제 자율",하위지표,(신규) 대학 전체 재학생 수,명,대학본부,7950,,,신규,,7950,7950,7950,7990,8030,8070,,,7950,7990,8030,8070,0,7950,False,False,대학 전체 재학생 수,False,CHUNGBUK,True,EXPLICIT,ind_98ddfb266b,CHILD,ind_cb5cbba563,0,,DIRECT
2026,31,O,X,1. 인력양성,1-2. 이차전지 단독형,"지역 전체, 단위과제 자율",상위지표,09. 지역고교 출신 입학생 증가율,%,,0,,,,,,8,,,,,,,,,,,,,False,True,지역고교 출신 입학생 증가율,True,CHUNGBUK,True,EXPLICIT,ind_9ceb4666d9,PARENT,,3,AUTO_FROM_CHILDREN,GROWTH_RATE
2026,32,O,X,1. 인력양성,1-2. 이차전지 단독형,"지역 전체, 단위과제 자율",하위지표,10. 지역고교생 참여 프로그램 이수자 수,명,윤아롱,45,,0,,,37,40,45,50,55,60,-,40,45,50,55,60,40,211,False,False,지역고교생 참여 프로그램 이수자 수,True,CHUNGBUK,True,EXPLICIT,ind_3b806a8833,CHILD,ind_9ceb4666d9,0,,DIRECT
2026,33,O,X,1. 인력양성,1-2. 이차전지 단독형,지역 전체,하위지표,11. 지역고교생 입학자 수,명,입학과,3,,0,,,2,2,3,4,5,6,-,2,3,4,5,6,2,,False,True,지역고교생 입학자 수,True,PROJECT,False,EXPLICIT,ind_e50136dbcf,CHILD,ind_9ceb4666d9,0,,DIRECT
2026,34,O,X,1. 인력양성,1-2. 이차전지 단독형,지역 전체,하위지표,(신규) 대학 전체 입학자 수,명,대학본부,2117,,,신규,,2117,2117,2117,2132,2147,2162,,,2117,2132,2147,2162,0,2117,False,False,대학 전체 입학자 수,False,PROJECT,False,EXPLICIT,ind_2f78ebd098,CHILD,ind_9ceb4666d9,0,,DIRECT
2026,35,O,X,1. 인력양성,1-2. 이차전지 단독형,대학 자율,상위지표,01. 지산학연 특화 교수법 운영 실적,값,배하은,14.8,,0,,,12.3,12.3,14.8,18.5,22.2,25.9,12.3,12.3,14.8,18.5,22.2,25.9,12.3,0,False,False,지산학연 특화 교수법 운영 실적,True,UNIVERSITY,False,EXPLICIT,ind_04ecf68b92,PARENT,,2,AUTO_FROM_CHILDREN,WEIGHTED_SUM
2026,36,O,X,1. 인력양성,1-2. 이차전지 단독형,대학 자율,하위지표,특화 교수법 적용 교과 운영 건수,건,배하은,0,,,,0.7,,,,,,,,,,,,,3,3,False,False,특화 교수법 적용 교과 운영 건수,False,UNIVERSITY,False,EXPLICIT,ind_324fb24034,CHILD,ind_04ecf68b92,0,,DIRECT
2026,37,O,X,1. 인력양성,1-2. 이차전지 단독형,대학 자율,하위지표,특화 교수법 적용 교과 이수 학생 수,명,배하은,0,,,,0.3,,,,,,,,,,,,,34,45,False,False,특화 교수법 적용 교과 이수 학생 수,False,UNIVERSITY,False,EXPLICIT,ind_d49ed61de8,CHILD,ind_04ecf68b92,0,,DIRECT
2026,38,O,X,1. 인력양성,1-2. 이차전지 단독형,대학 자율,상위지표,02. 교육과정 개발 실적,값,허소영,3.1,,0,,,0,1,3.1,5.5,7.2,9.6,0,1,3.1,5.5,7.2,9.6,1,0,False,False,교육과정 개발 실적,True,UNIVERSITY,False,EXPLICIT,ind_25ac353144,PARENT,,2,AUTO_FROM_CHILDREN,WEIGHTED_SUM
2026,39,O,X,1. 인력양성,1-2. 이차전지 단독형,대학 자율,하위지표,교육과정 관련 산관학협의체 운영 건수,건,허소영,0,,,,1,,,,,,,,,,,,,1,4,False,False,교육과정 관련 산관학협의체 운영 건수,False,UNIVERSITY,False,EXPLICIT,ind_51dde78272,CHILD,ind_25ac353144,0,,DIRECT
2026,40,O,X,1. 인력양성,1-2. 이차전지 단독형,대학 자율,하위지표,교과목 개편 및 개발 건수,건,허소영,0,,,,2,,,,,,,,,,,,,0,7,True,False,교과목 개편 및 개발 건수,False,UNIVERSITY,False,EXPLICIT,ind_db945663a5,CHILD,ind_25ac353144,0,,DIRECT
2026,41,O,X,1. 인력양성,1-2. 이차전지 단독형,대학 자율,상위지표,03. 캡스톤디자인 이수학생 수,값,김민지,75,,0,,,63,70,75,77.5,82.5,85,63,70,75,77.5,82.5,85,70,0,False,False,캡스톤디자인 이수학생 수,True,UNIVERSITY,False,EXPLICIT,ind_50274365d6,PARENT,,3,AUTO_FROM_CHILDREN,WEIGHTED_SUM
2026,42,O,X,1. 인력양성,1-2. 이차전지 단독형,대학 자율,하위지표,교수중심형 캡스톤디자인 이수학생 수,명,김민지,0,,,,1,,,,,,,,,,,,,55,87,False,False,교수중심형 캡스톤디자인 이수학생 수,False,UNIVERSITY,False,EXPLICIT,ind_dab2dd6ac6,CHILD,ind_50274365d6,0,,DIRECT
2026,43,O,X,1. 인력양성,1-2. 이차전지 단독형,대학 자율,하위지표,기업연계 기반 캡스톤디자인 이수학생 수,명,김민지,0,,,,1.5,,,,,,,,,,,,,10,0,False,False,기업연계 기반 캡스톤디자인 이수학생 수,False,UNIVERSITY,False,EXPLICIT,ind_7117fe466b,CHILD,ind_50274365d6,0,,DIRECT
2026,44,O,X,1. 인력양성,1-2. 이차전지 단독형,대학 자율,하위지표,글로벌 기반 캡스톤디자인 이수학생 수,명,김민지,0,,,,2,,,,,,,,,,,,,0,0,True,False,글로벌 기반 캡스톤디자인 이수학생 수,False,UNIVERSITY,False,EXPLICIT,ind_76dfb70468,CHILD,ind_50274365d6,0,,DIRECT
2026,45,O,X,1. 인력양성,1-3. 바이오 단독형,지역 전체,상위지표,01. 지역 정주 취업률,%,취업성공지원과,0,,,,,,,,,,,,,,,,,,,False,True,지역 정주 취업률,True,PROJECT,False,EXPLICIT,ind_8d62b19258,PARENT,,2,AUTO_FROM_CHILDREN,RATIO
2026,46,O,X,1. 인력양성,1-3. 바이오 단독형,지역 전체,하위지표,02. 지역 내 취업자 수,명,취업성공지원과,7,,0,,,6,6,7,8,9,10,-,6,7,8,9,10,6,30,False,False,지역 내 취업자 수,True,PROJECT,False,EXPLICIT,ind_9f383b4889,CHILD,ind_8d62b19258,0,,DIRECT
2026,47,O,X,1. 인력양성,1-3. 바이오 단독형,지역 전체,하위지표,03. 지역 외(수도권 제외) 취업자 수,명,취업성공지원과,15,,0,,,14,14,15,16,17,18,-,14,15,16,17,18,14,32,False,False,지역 외(수도권 제외) 취업자 수,True,PROJECT,False,EXPLICIT,ind_8526071799,CHILD,ind_8d62b19258,0,,DIRECT
2026,48,O,X,1. 인력양성,1-3. 바이오 단독형,"지역 전체, 단위과제 자율",상위지표,04. 지역 외 표준현장실습 참여 학생 증가율,%,조은미,0,,,,,,,,,,,,,,,,,,,False,True,지역 외 표준현장실습 참여 학생 증가율,True,CHUNGBUK,True,EXPLICIT,ind_bed2a3bd07,PARENT,,0,DIRECT_INPUT,DIRECT
2026,49,O,X,1. 인력양성,1-3. 바이오 단독형,"지역 전체, 단위과제 자율",상위지표,04. 지역 내 표준현장실습 참여 학생 증가율,%,조은미,0,,,,,,,,,,,,,,,,,,,False,True,지역 내 표준현장실습 참여 학생 증가율,True,CHUNGBUK,True,EXPLICIT,ind_ba464a9d1e,PARENT,,8,AUTO_FROM_CHILDREN,GROWTH_RATE
2026,50,O,O,1. 인력양성,1-3. 바이오 단독형,"지역 전체, 단위과제 자율",하위지표,05. 지역 외 4주 이상 8주 미만 표준현장실습 참여 학생 수,명,조은미,1,,0,,,1,1,1,1,1,1,-,7,8,9,10,11,1,0,True,False,지역 외 4주 이상 8주 미만 표준현장실습 참여 학생 수,True,CHUNGBUK,True,EXPLICIT,ind_7f14e76c1b,CHILD,ind_ba464a9d1e,0,,DIRECT
2026,51,O,O,1. 인력양성,1-3. 바이오 단독형,"지역 전체, 단위과제 자율",하위지표,05. 지역 내 4주 이상 8주 미만 표준현장실습 참여 학생 수,명,조은미,2,,0,,,1,1,2,3,4,5,,,,,,,1,2,False,False,지역 내 4주 이상 8주 미만 표준현장실습 참여 학생 수,True,CHUNGBUK,True,EXPLICIT,ind_754c43db41,CHILD,ind_ba464a9d1e,0,,DIRECT
2026,52,O,O,1. 인력양성,1-3. 바이오 단독형,"지역 전체, 단위과제 자율",하위지표,06. 지역 외 8주 이상 12주 미만 표준현장실습 참여 학생 수,명,조은미,5,,0,,,5,5,5,5,5,5,-,7,8,9,10,11,5,2,True,False,지역 외 8주 이상 12주 미만 표준현장실습 참여 학생 수,True,CHUNGBUK,True,EXPLICIT,ind_427fa3beba,CHILD,ind_ba464a9d1e,0,,DIRECT
2026,53,O,O,1. 인력양성,1-3. 바이오 단독형,"지역 전체, 단위과제 자율",하위지표,06. 지역 내 8주 이상 12주 미만 표준현장실습 참여 학생 수,명,조은미,3,,0,,,2,2,3,4,5,6,,,,,,,2,4,False,False,지역 내 8주 이상 12주 미만 표준현장실습 참여 학생 수,True,CHUNGBUK,True,EXPLICIT,ind_33b5d0c032,CHILD,ind_ba464a9d1e,0,,DIRECT
2026,54,O,X,1. 인력양성,1-3. 바이오 단독형,"지역 전체, 단위과제 자율",하위지표,07. 지역 외 12주 이상 표준현장실습 참여 학생 수,명,조은미,5,,0,,,5,5,5,5,5,5,-,8,9,10,11,12,5,2,True,False,지역 외 12주 이상 표준현장실습 참여 학생 수,True,CHUNGBUK,True,EXPLICIT,ind_b41b07e837,CHILD,ind_ba464a9d1e,0,,DIRECT
2026,55,O,X,1. 인력양성,1-3. 바이오 단독형,"지역 전체, 단위과제 자율",하위지표,07. 지역 내 12주 이상 표준현장실습 참여 학생 수,명,조은미,2,,0,,,1,1,2,3,4,5,,,,,,,1,7,False,False,지역 내 12주 이상 표준현장실습 참여 학생 수,True,CHUNGBUK,True,EXPLICIT,ind_fcf034942d,CHILD,ind_ba464a9d1e,0,,DIRECT
2026,56,O,X,1. 인력양성,1-3. 바이오 단독형,"지역 전체, 단위과제 자율",하위지표,08. 표준현장실습 참여자 중 실습기업 취업자 수,명,조은미,1,,0,,,1,1,1,2,2,3,-,1,1,2,2,3,1,0,True,False,표준현장실습 참여자 중 실습기업 취업자 수,True,CHUNGBUK,True,EXPLICIT,ind_e9745c19f0,CHILD,ind_ba464a9d1e,0,,DIRECT
2026,57,O,O,1. 인력양성,1-3. 바이오 단독형,"지역 전체, 단위과제 자율",하위지표,(신규) 대학 전체 재학생 수,명,대학본부,7950,,,신규,,7950,7950,7950,7990,8030,8070,,,7950,7990,8030,8070,0,7950,False,False,대학 전체 재학생 수,False,CHUNGBUK,True,EXPLICIT,ind_31b6ee26d3,CHILD,ind_ba464a9d1e,0,,DIRECT
2026,58,O,X,1. 인력양성,1-3. 바이오 단독형,"지역 전체, 단위과제 자율",상위지표,09. 지역고교 출신 입학생 증가율,%,,0,,,,,,,,,,,,,,,,,,,False,True,지역고교 출신 입학생 증가율,True,CHUNGBUK,True,EXPLICIT,ind_56a7d27459,PARENT,,2,AUTO_FROM_CHILDREN,GROWTH_RATE
2026,59,O,X,1. 인력양성,1-3. 바이오 단독형,"지역 전체, 단위과제 자율",하위지표,10. 지역고교생 참여 프로그램 이수자 수,명,윤아롱,45,,0,,,40,40,45,50,55,60,-,40,45,50,55,60,40,119,False,False,지역고교생 참여 프로그램 이수자 수,True,CHUNGBUK,True,EXPLICIT,ind_af1b4af73f,CHILD,ind_56a7d27459,0,,DIRECT
2026,60,O,X,1. 인력양성,1-3. 바이오 단독형,지역 전체,하위지표,11. 지역고교생 입학자 수,명,입학과,3,,0,,,2,2,3,4,5,6,-,2,3,4,5,6,2,,False,True,지역고교생 입학자 수,True,PROJECT,False,EXPLICIT,ind_79360ff0b6,CHILD,ind_56a7d27459,0,,DIRECT
2026,61,O,X,1. 인력양성,1-3. 바이오 단독형,대학 자율,,01. 지산학연 특화 교수법 운영 실적,값,배하은,49.2,,0,,,46.1,46.1,49.2,52.9,56.6,60.3,46.1,46.1,49.2,52.9,56.6,60.3,46.1,0,False,False,지산학연 특화 교수법 운영 실적,True,UNIVERSITY,False,INFERRED,ind_7e134ac1f0,PARENT,,2,AUTO_FROM_CHILDREN,WEIGHTED_SUM
2026,62,O,X,1. 인력양성,1-3. 바이오 단독형,대학 자율,,특화 교수법 적용 교과 운영 건수,건,배하은,0,,,,0.7,,,,,,,,,,,,,5,8,False,False,특화 교수법 적용 교과 운영 건수,False,UNIVERSITY,False,INFERRED,ind_ab5a0c3bda,CHILD,ind_7e134ac1f0,0,,DIRECT
2026,63,O,X,1. 인력양성,1-3. 바이오 단독형,대학 자율,,특화 교수법 적용 교과 이수 학생 수,명,배하은,0,,,,0.3,,,,,,,,,,,,,142,145,False,False,특화 교수법 적용 교과 이수 학생 수,False,UNIVERSITY,False,INFERRED,ind_dcb9605937,CHILD,ind_7e134ac1f0,0,,DIRECT
2026,64,O,X,1. 인력양성,1-3. 바이오 단독형,대학 자율,,02. 교육과정 개발 실적,값,허소영,3.1,,0,,,1,1,3.1,5.5,7.2,9.6,0,1,3.1,5.5,7.2,9.6,1,0,False,False,교육과정 개발 실적,True,UNIVERSITY,False,INFERRED,ind_30eb9ffdc8,PARENT,,2,AUTO_FROM_CHILDREN,WEIGHTED_SUM
2026,65,O,X,1. 인력양성,1-3. 바이오 단독형,대학 자율,,교육과정 관련 산관학협의체 운영 건수,건,허소영,0,,,,1,,,,,,,,,,,,,1,6,False,False,교육과정 관련 산관학협의체 운영 건수,False,UNIVERSITY,False,INFERRED,ind_440941a5a0,CHILD,ind_30eb9ffdc8,0,,DIRECT
2026,66,O,X,1. 인력양성,1-3. 바이오 단독형,대학 자율,,교과목 개편 및 개발 건수,건,허소영,0,,,,2,,,,,,,,,,,,,0,18,True,False,교과목 개편 및 개발 건수,False,UNIVERSITY,False,INFERRED,ind_800e68ac30,CHILD,ind_30eb9ffdc8,0,,DIRECT
2026,67,O,X,1. 인력양성,1-3. 바이오 단독형,대학 자율,,03. 캡스톤디자인 이수학생 수,값,김민지,720,,0,,,707,707.5,720,730,740,751.5,707,707.5,720,730,740,751.5,707.5,0,False,False,캡스톤디자인 이수학생 수,True,UNIVERSITY,False,INFERRED,ind_ef7ccee874,PARENT,,0,DIRECT_INPUT,DIRECT
2026,68,O,X,1. 인력양성,1-3. 바이오 단독형,대학 자율,,교수중심형 캡스톤디자인 이수학생 수,명,김민지,0,,,,1,,,,,,,,,,,,,130,567,False,False,교수중심형 캡스톤디자인 이수학생 수,False,UNIVERSITY,False,INFERRED,ind_751ab6ef07,PARENT,,0,DIRECT_INPUT,DIRECT
2026,69,O,X,1. 인력양성,1-3. 바이오 단독형,대학 자율,,기업연계 기반 캡스톤디자인 이수학생 수,명,김민지,0,,,,1.5,,,,,,,,,,,,,385,110,False,False,기업연계 기반 캡스톤디자인 이수학생 수,False,UNIVERSITY,False,INFERRED,ind_adf951ec79,PARENT,,0,DIRECT_INPUT,DIRECT
2026,70,O,X,1. 인력양성,1-3. 바이오 단독형,대학 자율,,글로벌 기반 캡스톤디자인 이수학생 수,명,김민지,0,,,,2,,,,,,,,,,,,,0,0,True,False,글로벌 기반 캡스톤디자인 이수학생 수,False,UNIVERSITY,False,INFERRED,ind_c7f79a2da3,PARENT,,0,DIRECT_INPUT,DIRECT
2026,71,O,X,1. 인력양성,1-4. 반도체 단독형,지역 전체,,01. 지역 정주 취업률,%,취업성공지원과,0,,,,,,,,,,,,,,,,,,,False,True,지역 정주 취업률,True,PROJECT,False,INFERRED,ind_7e3b84b35b,PARENT,,2,AUTO_FROM_CHILDREN,RATIO
2026,72,O,X,1. 인력양성,1-4. 반도체 단독형,지역 전체,,02. 지역 내 취업자 수,명,취업성공지원과,7,,0,,,6,6,7,8,9,10,-,6,7,8,9,10,6,33,False,False,지역 내 취업자 수,True,PROJECT,False,INFERRED,ind_907a8d56c5,CHILD,ind_7e3b84b35b,0,,DIRECT
2026,73,O,X,1. 인력양성,1-4. 반도체 단독형,지역 전체,,03. 지역 외(수도권 제외) 취업자 수,명,취업성공지원과,15,,0,,,14,14,15,16,17,18,-,14,15,16,17,18,14,42,False,False,지역 외(수도권 제외) 취업자 수,True,PROJECT,False,INFERRED,ind_959cef5090,CHILD,ind_7e3b84b35b,0,,DIRECT
2026,74,O,X,1. 인력양성,1-4. 반도체 단독형,"지역 전체, 단위과제 자율",,04. 지역 외 표준현장실습 참여 학생 증가율,%,조은미,0,,,,,,,,,,,,,,,,,,,False,True,지역 외 표준현장실습 참여 학생 증가율,True,CHUNGBUK,True,INFERRED,ind_56058b252a,PARENT,,0,DIRECT_INPUT,DIRECT
2026,75,O,X,1. 인력양성,1-4. 반도체 단독형,"지역 전체, 단위과제 자율",,04. 지역 내 표준현장실습 참여 학생 증가율,%,조은미,0,,,,,,,,,,,,,,,,,,,False,True,지역 내 표준현장실습 참여 학생 증가율,True,CHUNGBUK,True,INFERRED,ind_72f7cadfb4,PARENT,,6,AUTO_FROM_CHILDREN,GROWTH_RATE
2026,76,O,X,1. 인력양성,1-4. 반도체 단독형,"지역 전체, 단위과제 자율",,05. 지역 외 4주 이상 8주 미만 표준현장실습 참여 학생 수,명,조은미,1,,0,,,1,1,1,1,1,1,-,7,8,9,10,11,1,0,True,False,지역 외 4주 이상 8주 미만 표준현장실습 참여 학생 수,True,CHUNGBUK,True,INFERRED,ind_68795755bd,CHILD,ind_72f7cadfb4,0,,DIRECT
